1089	2086
30	2162
61	2312
1563	2633
1177	1935
738	1080
748	1145
219	1413
53	1739
160	1986
69	1351
350	2089
1608	2126
831	1011
1154	1714
1131	2185
2173	2174
2212	2216
1708	2314
2369	2370
279	2280
1623	1771
808	1785
706	1240
501	1765
394	2351
74	1042
483	816
353	1173
1257	2248
1090	1271
80	2049
204	415
10	476
77	1803
1725	2334
41	596
321	1450
368	996
55	1079
1202	2524
2327	2328
89	884
2180	2182
1202	2336
1536	2702
140	623
43	963
1685	2083
1706	2585
702	2069
109	2045
686	1358
591	1078
504	2396
501	1358
973	2016
2402	2403
1657	2686
1117	2499
2058	2150
477	2569
1539	1914
916	1026
1239	2611
237	2539
1072	1784
77	659
306	1771
88	851
1925	2620
562	2450
1483	2083
971	1650
880	1013
395	640
310	1272
1083	1232
506	1918
103	1775
306	476
657	1229
890	1269
1704	1986
982	2176
1007	1154
99	122
121	1158
2	1986
120	514
700	1691
4	1016
346	999
549	1810
514	1882
906	2353
94	2357
1614	2034
1358	1756
2095	2504
739	1543
755	1277
261	1894
2094	2106
523	2406
911	2376
1502	1503
1135	2678
492	2678
1914	1919
56	412
216	1701
1013	1841
622	1951
1377	2069
702	777
1946	1950
482	1807
1337	1701
397	879
366	553
1596	2476
69	1920
1438	2664
509	2146
1701	1799
1334	1701
810	1068
282	747
111	2643
872	1413
1842	2405
1671	1929
449	1834
1150	1243
396	1988
399	544
210	1626
848	1373
533	1742
1561	1623
1358	1731
205	1869
803	2100
338	1413
443	1966
1470	1555
2065	2067
454	1917
467	1708
123	2455
732	1756
487	859
588	2383
1443	2645
1081	2563
1639	1688
476	1140
761	1401
1703	2238
305	1416
979	1839
1119	1235
689	1169
201	598
742	1483
109	236
1623	1783
74	2052
1005	1541
1358	1734
2074	2181
891	1674
1405	1508
2056	2311
294	2047
211	1394
2162	2163
1609	1912
1382	2176
453	2306
1309	2103
463	1966
220	817
1499	1776
939	2173
433	436
1470	1953
1355	1957
547	1701
617	2034
1186	2574
1131	1215
1272	1945
1781	2107
200	2676
693	1851
507	1933
1388	2197
792	1488
191	1998
708	2216
131	834
598	637
1107	1810
2343	2344
1047	2333
474	1181
1252	2656
310	1949
1008	1922
1128	2275
339	813
42	1372
1235	2577
240	756
1810	1823
581	1616
532	1701
150	310
716	1810
683	834
1131	2282
1697	2253
562	1483
1336	1797
482	790
894	2367
643	1538
415	818
295	1177
1986	1994
158	2034
407	1681
610	2287
437	718
1092	2501
894	1845
793	1896
1477	1542
739	1881
1358	1717
1300	1542
1103	1888
435	733
1169	1720
963	1703
402	1940
310	1815
348	1643
41	175
1358	1750
289	1358
593	1115
505	1560
356	1259
276	1463
1358	1755
1291	2154
348	2250
279	2344
